Index,Adsorbent,Directory,co2_0.1bar,co2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc
2038,JUCXEK_clean,MOF2038,0.017035346,1.000780623,0.016663418,0.381037016,0.983745277,0.364373598,5.3325211100893535
2039,JUKPAI_clean,MOF2039,0.015226618,3.107695976,0.015083613,0.32948982,3.0924693580000002,0.314406207,19.149497721457173
2040,JUMCOL_clean,MOF2040,0.130901624,1.338603209,0.130587848,2.773368109,1.207701585,2.6427802610000004,0.9799529109700528
2041,JUMCUR_clean,MOF2041,0.147676948,4.947619575,0.146809554,2.68216012,4.799942627,2.535350566,3.7451779783785213
2042,JUMDAY_clean,MOF2042,0.173073012,5.033341885,0.172146109,2.861820636,4.860268873,2.689674527,3.5708769281747066
2043,JUMDEC_clean,MOF2043,0.153997562,4.98169138,0.153925429,2.778817723,4.827693818,2.624892294,3.6398008480848043
2044,JUNBUR_clean,MOF2044,0.137918827,9.326182389,0.138488243,2.805749598,9.188263562,2.667261355,6.748633726631459
2045,JUQVAU_clean,MOF2045,0.149216561,6.775302141,0.150748204,2.332820439,6.62608558,2.1820722349999997,5.896688934184579
2046,JURKIS_clean,MOF2046,0.063096305,8.004683752,0.06182896,1.239155217,7.941587447,1.177326257,13.115333297509759
2047,JUSGUB_clean,MOF2047,0.444225568,3.182782018,0.4504138,2.457569238,2.73855645,2.007155438,2.629432317112766
2048,JUSKAL_clean,MOF2048,0.073181885,1.433466469,0.073827906,0.944057292,1.360284584,0.870229386,3.08283336245708
2049,JUTCIM_clean,MOF2049,0.189506111,15.03657978,0.190185605,2.989358554,14.847073669,2.799172949,10.212496407256763
2050,JUTCOS_clean,MOF2050,0.157740721,4.785439959,0.156337663,1.912565186,4.627699238,1.756227523,5.080032472206105
2051,JUTCUW_SL,MOF2051,0.029153206,0.504973051,0.029490512,0.75297127,0.475819845,0.723480758,1.3616034987187051
2052,JUXFOZ_clean,MOF2052,0.188751186,15.51957787,0.19038466,3.607696855,15.330826684000002,3.417312195,8.73395056317304
2053,JUYBEM_clean,MOF2053,0.295339308,5.333309178,0.296264487,2.439887737,5.03796987,2.1436232499999996,4.4380049218782425
2054,JUYJIY_clean,MOF2054,0.107557989,12.02540634,0.109279184,2.20562786,11.917848351,2.096348676,11.069509673643347
2055,JUYROM_clean,MOF2055,0.237041852,3.379674089,0.236047832,3.85654105,3.142632237,3.620493218,1.7792530807712608
2056,jz4002345_si_002_clean,MOF2056,0.133034707,7.459792311,0.132922865,1.552441045,7.326757604,1.4195181799999999,9.756015523574712
2057,jz4002345_si_003_clean,MOF2057,0.132510554,7.189808443,0.132422082,1.567594742,7.057297889000001,1.43517266,9.312030385160103
2058,jz4002345_si_004_clean,MOF2058,0.131327036,7.240218941,0.132924534,1.576148118,7.108891905,1.443223584,9.326432134197237
2059,jz4002345_si_005_clean,MOF2059,0.195712075,7.863183493,0.196497575,1.758692075,7.667471418,1.5621945,9.077567074194423
2060,KABXAO_clean,MOF2060,0.010683559,4.422504543,0.010812577,0.263392757,4.411820983999999,0.25258018,34.08986821601104
2061,KACGAZ_clean,MOF2061,0.089640322,2.000951136,0.088801357,1.539591725,1.911310814,1.450790368,2.638710697739747
2062,KADLOT_clean,MOF2062,0.101634496,8.060637781,0.100951887,2.120861453,7.9590032850000005,2.019909566,7.71645752238555
2063,KADLUZ_clean,MOF2063,0.116119646,8.00187885,0.115419207,2.31645941,7.885759204000001,2.2010402030000003,7.013392424291487
2064,KAHMOW_clean,MOF2064,0.424034667,2.287616503,0.430008371,1.318839716,1.8635818360000003,0.888831345,3.5216976421508686
2065,KAHNOX_clean,MOF2065,0.017921153,0.29102968,0.017657348,0.455145704,0.273108527,0.43748835599999997,1.2982182101670925
2066,KAHPUE_clean,MOF2066,0.068100694,1.176710866,0.068152872,1.411244906,1.1086101720000001,1.343092034,1.6928880500280106
2067,KAJZIH_clean,MOF2067,0.071282133,2.989945795,0.071048372,1.264552377,2.918663662,1.193504005,4.800509744350671
